symbol,group,mode,dump_pct,take_profit_pct,stop_loss_pct,timeout_minutes,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
SUIUSDT,fast_alt,always_in_15m,0.0,1.5,1.0,240,66,15,30,21,0,22.727272727272727,33.333333333333336,47.99999999999999,-14.666666666666657,-169.13642802218902,132.0,131.3939393939394,8.946124504773534,-10.043391628657522,-12.0,13.0
SUIUSDT,fast_alt,always_in_15m,0.0,1.5,1.0,480,57,17,33,7,0,29.82456140350877,34.0,47.99999999999999,-13.999999999999993,-165.0986009142185,114.0,155.28070175438597,11.366642007555576,-11.216613418691269,-12.0,13.0
SUIUSDT,fast_alt,always_in_15m,0.0,1.5,1.0,720,55,19,34,2,0,34.54545454545455,35.84905660377358,47.99999999999999,-12.15094339622641,-159.7230846152415,110.0,161.6727272727273,12.652330743618206,-11.793419985360162,-12.0,13.0
SUIUSDT,fast_alt,always_in_15m,0.0,2.0,1.0,240,61,10,29,22,0,16.39344262295082,25.641025641025642,39.99999999999999,-14.35897435897435,-151.78130301082496,122.0,142.65573770491804,9.849685277502417,-9.955896431404751,-12.0,18.000000000000004
SUIUSDT,fast_alt,always_in_15m,0.0,2.0,1.0,480,52,12,32,8,0,23.076923076923077,27.272727272727273,39.99999999999999,-12.72727272727272,-154.20193861363444,104.00000000000001,170.75,13.870320277050984,-11.142782380671463,-12.0,18.000000000000004
SUIUSDT,fast_alt,always_in_15m,0.0,2.0,1.0,720,46,13,30,3,0,28.26086956521739,30.232558139534884,39.99999999999999,-9.767441860465109,-125.2031344229878,92.0,194.65217391304347,17.14618677659744,-11.414054665479746,-12.0,18.000000000000004
SUIUSDT,fast_alt,always_in_15m,0.0,2.0,1.5,240,54,10,18,26,0,18.51851851851852,35.714285714285715,48.57142857142857,-12.857142857142854,-135.08396701757556,108.0,162.2037037037037,10.640360098526086,-12.252008041408889,-17.0,18.000000000000004
SUIUSDT,fast_alt,always_in_15m,0.0,2.0,1.5,480,40,12,20,8,0,30.0,37.5,48.57142857142857,-11.07142857142857,-125.68109910817059,80.0,224.725,14.436567127146017,-14.86109054760445,-17.0,18.000000000000004
SUIUSDT,fast_alt,always_in_15m,0.0,2.0,1.5,720,35,11,19,5,0,31.428571428571427,36.666666666666664,48.57142857142857,-11.904761904761905,-126.18100663121245,70.0,258.51428571428573,17.435261707988985,-14.582789005525228,-17.0,18.000000000000004
SUIUSDT,fast_alt,always_in_15m,0.0,2.5,1.2,240,54,6,20,28,0,11.11111111111111,23.076923076923077,37.837837837837846,-14.760914760914769,-114.86334015826202,108.0,162.24074074074073,10.295004080170736,-10.66729468506307,-14.0,23.0
SUIUSDT,fast_alt,always_in_15m,0.0,2.5,1.2,480,43,7,24,12,0,16.27906976744186,22.580645161290324,37.837837837837846,-15.257192676547522,-140.0977122496459,86.0,209.13953488372093,14.429715741902081,-12.733694584934899,-14.0,23.0
SUIUSDT,fast_alt,always_in_15m,0.0,2.5,1.2,720,34,7,21,6,0,20.58823529411765,25.0,37.837837837837846,-12.837837837837846,-102.37092725066344,68.0,267.3529411764706,18.272503987313257,-13.189933526569966,-14.0,23.0
SUIUSDT,fast_alt,always_in_15m,0.0,3.0,1.5,240,47,5,15,27,0,10.638297872340425,25.0,37.777777777777786,-12.777777777777786,-96.33496764779409,94.0,187.61702127659575,11.221293276377803,-11.880030858346302,-17.0,27.999999999999996
SUIUSDT,fast_alt,always_in_15m,0.0,3.0,1.5,480,33,6,17,10,0,18.181818181818183,26.08695652173913,37.777777777777786,-11.690821256038657,-91.39084555231692,66.0,273.3333333333333,17.972036272420763,-14.62168003911267,-17.0,27.999999999999996
SUIUSDT,fast_alt,always_in_15m,0.0,3.0,1.5,720,28,6,15,7,0,21.428571428571427,28.571428571428573,37.777777777777786,-9.206349206349213,-77.10739071216881,56.0,324.64285714285717,24.018771479451146,-13.4628781273889,-17.0,27.999999999999996
SUIUSDT,fast_alt,dump_reclaim,0.8,1.5,1.0,240,5,1,4,0,0,20.0,20.0,47.99999999999999,-27.999999999999993,-35.0,10.0,59.0,13.0,-12.0,-12.0,13.0
SUIUSDT,fast_alt,dump_reclaim,0.8,1.5,1.0,480,5,1,4,0,0,20.0,20.0,47.99999999999999,-27.999999999999993,-35.0,10.0,59.0,13.0,-12.0,-12.0,13.0
SUIUSDT,fast_alt,dump_reclaim,0.8,1.5,1.0,720,5,1,4,0,0,20.0,20.0,47.99999999999999,-27.999999999999993,-35.0,10.0,59.0,13.0,-12.0,-12.0,13.0
SUIUSDT,fast_alt,dump_reclaim,0.8,2.0,1.0,240,5,1,4,0,0,20.0,20.0,39.99999999999999,-19.999999999999993,-29.999999999999996,10.0,59.6,18.000000000000004,-12.0,-12.0,18.000000000000004
SUIUSDT,fast_alt,dump_reclaim,0.8,2.0,1.0,480,5,1,4,0,0,20.0,20.0,39.99999999999999,-19.999999999999993,-29.999999999999996,10.0,59.6,18.000000000000004,-12.0,-12.0,18.000000000000004
SUIUSDT,fast_alt,dump_reclaim,0.8,2.0,1.0,720,5,1,4,0,0,20.0,20.0,39.99999999999999,-19.999999999999993,-29.999999999999996,10.0,59.6,18.000000000000004,-12.0,-12.0,18.000000000000004
SUIUSDT,fast_alt,dump_reclaim,0.8,2.0,1.5,240,4,1,1,2,0,25.0,50.0,48.57142857142857,1.4285714285714306,-7.970385046965006,8.0,165.0,9.019962115692776,-13.005154639175279,-17.0,18.000000000000004
SUIUSDT,fast_alt,dump_reclaim,0.8,2.0,1.5,480,4,1,1,2,0,25.0,50.0,48.57142857142857,1.4285714285714306,7.191369327931637,8.0,285.0,13.026956141629071,-9.431271477663252,-17.0,18.000000000000004
SUIUSDT,fast_alt,dump_reclaim,0.8,2.0,1.5,720,4,1,1,2,0,25.0,50.0,48.57142857142857,1.4285714285714306,-12.902555313041404,8.0,405.0,18.000000000000004,-10.300851771013802,-17.0,18.000000000000004
SUIUSDT,fast_alt,dump_reclaim,0.8,2.5,1.2,240,4,0,2,2,0,0.0,0.0,37.837837837837846,-37.837837837837846,-18.11181624451494,8.0,153.25,18.898493033835617,-12.336769759450187,-14.0,18.898493033835617
SUIUSDT,fast_alt,dump_reclaim,0.8,2.5,1.2,480,4,1,3,0,0,25.0,25.0,37.837837837837846,-12.837837837837846,-19.0,8.0,179.0,23.0,-14.0,-14.0,23.0
SUIUSDT,fast_alt,dump_reclaim,0.8,2.5,1.2,720,4,1,3,0,0,25.0,25.0,37.837837837837846,-12.837837837837846,-19.0,8.0,179.0,23.0,-14.0,-14.0,23.0
SUIUSDT,fast_alt,dump_reclaim,0.8,3.0,1.5,240,4,0,1,3,0,0.0,0.0,37.777777777777786,-37.777777777777786,-7.071892013129393,8.0,199.5,9.469208632610583,-13.005154639175279,-17.0,18.898493033835617
SUIUSDT,fast_alt,dump_reclaim,0.8,3.0,1.5,480,4,1,1,2,0,25.0,50.0,37.777777777777786,12.222222222222214,17.191369327931632,8.0,339.5,18.026956141629068,-9.431271477663252,-17.0,27.999999999999996
SUIUSDT,fast_alt,dump_reclaim,0.8,3.0,1.5,720,4,1,1,2,0,25.0,50.0,37.777777777777786,12.222222222222214,-2.90255531304141,8.0,459.5,27.999999999999996,-10.300851771013802,-17.0,27.999999999999996
SUIUSDT,fast_alt,dump_reclaim,1.2,1.5,1.0,240,0,0,0,0,0,0.0,,47.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUIUSDT,fast_alt,dump_reclaim,1.2,1.5,1.0,480,0,0,0,0,0,0.0,,47.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUIUSDT,fast_alt,dump_reclaim,1.2,1.5,1.0,720,0,0,0,0,0,0.0,,47.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUIUSDT,fast_alt,dump_reclaim,1.2,2.0,1.0,240,0,0,0,0,0,0.0,,39.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUIUSDT,fast_alt,dump_reclaim,1.2,2.0,1.0,480,0,0,0,0,0,0.0,,39.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUIUSDT,fast_alt,dump_reclaim,1.2,2.0,1.0,720,0,0,0,0,0,0.0,,39.99999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUIUSDT,fast_alt,dump_reclaim,1.2,2.0,1.5,240,0,0,0,0,0,0.0,,48.57142857142857,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
